name,region,variety,rating,notes
A to Z Pinot Gris 2012,Oregon,White Wine,88,"A to Z Pinot Gris is bright with tropical aromas of lime, kiwi, orange blossom, and tangerine as well as complex aromas of rose, melon and talc. The attack is lively, juicy and pure with wonderful lush fruit and mineral notes. Tangy citrus flavors combine with ripe peach, pear and quince notes to produce a very pretty and seamless mid-palate. The wine has good weight and great length that ultimately ends with a clean, crisp finish."
A to Z Pinot Gris 2011,"Willamette Valley, Oregon",White Wine,89,"The 2011 A to Z Pinot Gris is bright with tropical aromas of lime, kiwi, orange blossom, and tangerine as well as complex aromas of rose, melon and talc. The attack is lively, juicy and pure with wonderful lush fruit and mineral notes. Tangy citrus flavors combine with ripe peach, pear and quince notes to produce a very pretty and seamless mid-palate. The wine has good weight and great length that ultimately ends with a clean, crisp finish."
A to Z Pinot Gris 2013,Oregon,White Wine,88,"The 2013 A to Z Pinot Gris has lifted aromas of honeysuckle, lemon zest, nutmeg and wet stone developing into richer aromas of lychee, beeswax and melon that add complexity to the nose. The attack is juicy and pure with bright citrus fruit flavors and mineral notes. Taut structure and a tight wire balance between ripeness and acidity frame a seamless mid-palate and lead to a long finish that ultimately ends crisp and clean with flavors of wet stone and jasmine green tea."
A to Z Pinot Gris 2014,Oregon,White Wine,89,"The A to Z Pinot Gris has lifted aromas of honeysuckle, lemon zest, nutmeg and wet stone developing into richer aromas of lychee, beeswax and melon that add complexity to the nose. The attack is juicy and pure with bright citrus fruit flavors and mineral notes. Taut structure and a tight wire balance between ripeness and acidity frame a seamless mid-palate and lead to a long finish that ultimately ends crisp and clean with flavors of wet stone and jasmine green tea."
A to Z Pinot Gris 2015,Oregon,White Wine,90,"The 2015 A to Z Oregon Pinot Gris offers exuberant aromas of peach, honeysuckle, lime blossom and kiwi, with spicier notes of orange zest, cinnamon, ginger, basil, plum and kumquat emerging in the glass. The palate is ripe and concentrated with lush fruit flavors underpinned by mineral notes and juicy acidity. The lasting impression is one of great purity and intensity, balanced by uplifting juiciness. This Pinot Gris embodies the great 2015 vintage making an ideal food or quaffing wine that will drink wonderfully over the next two to five years. "
A to Z Pinot Gris 2016,Oregon,White Wine,90,"The 2016 A to Z Oregon Pinot Gris offers beautiful floral aromas reminiscent of jasmine, elderflower and white roses along with complex fruit notes of nectarine, melon, pear, yellow plums and yellow apples, lemon, lime, even grapefruit zest and a touch of guava, clover honey and handmade marshmallows. The wine is lush and layered on the palate structured with moderate acidity and alcohol. The finish is layered and fresh, with a lingering pear and spice note. "
A to Z Pinot Noir 2002,"Willamette Valley, Oregon",Red Wine,88,"""Fine in texture, with firm tannins around a pretty core of cherry, currant and spice flavors, finishing lively and with some refinement.  Drink now through 2006."""
A to Z Pinot Noir 2003,"Willamette Valley, Oregon",Red Wine,88,"""Best Pinot Noir Under $20"" -  "
A to Z Pinot Noir 2004,"Willamette Valley, Oregon",Red Wine,87,"""Best Pinot Noir Under $20"" -  "
A to Z Pinot Noir 2006,"Willamette Valley, Oregon",Red Wine,90,"The 2006 A to Z Oregon Pinot Noir is blended from wines made from at least sixteen different vineyards representing all of the Oregon AVAs that grow Pinot Noir. A to Z takes great care over many months in crafting one cuvee each vintage, a complex blend that embodies the essence of Oregon Pinot Noir. "
A to Z Pinot Noir 2009,"Willamette Valley, Oregon",Red Wine,90,"Super sexy and spicy on the nose with aromas of apricots, blueberries, Bing cherries, blood oranges, gingerbread, white pepper, sweet Eastern spices, violets, tea and sweet pipe tobacco. In the mouth, the wine has refreshing acidity with silky tannins and rich flavors mirroring the aromatics. The 2009 A to Z Oregon Pinot Noir restrains power while balancing richness and purity with a clean and refreshing finish. Classically proportioned and built for midterm aging, the wine will continue to build weight and structure with cellaring. "
A to Z Pinot Noir 2011,Oregon,Red Wine,90, 
A to Z Pinot Noir 2012,Oregon,Red Wine,89,"The 2012 A to Z Pinot Noir invites with vibrant aromas of juicy berries, cherries, lavender and violets, evolving to clove, game, smoke and cherry tobacco. A succulent, focused attack has flavors of blue and red fruits, flowers and earth, then deepens with hints of mocha, gingerbread, green tea and cacao. A very tannic structure is balanced by perfect acidity, giving shape and elegance to the concentration of lush fruit. A beautiful, complex, forward wine results, walking a tightrope between richness and elegance. Built for midterm ageing, the captivating A to Z Pinot Noir once again sets the standard for the superior 2012 Pinot Noir vintage in Oregon. "
A to Z Pinot Noir 2013,Oregon,Red Wine,89,"The 2013 A to Z Pinot Noir leads with aromas of cherries, raspberries, and blackberries, developing to iris, blueberries, strawberries and minerals. A beautiful attack has vibrant red fruit flavors and floral notes, then deepens with hints of blood orange and blueberry jam. Ripe tannins are balanced by perfect acidity and the mid-palate reveals spice, tobacco and earth notes adding richness and complexity. The finish is quite long which allows all the elements of the wine to come together and show the intrinsic balance and complexity of the 2013 Oregon vintage."
A to Z Pinot Noir 2014,Oregon,Red Wine,89,"Clear and vibrant, the 2014 A to Z Oregon Pinot Noir opens with rich primary aromas of strawberries, cherries, blueberries, raspberries, even cranberries, developing to violets, red currants, pipe tobacco, iron, and wet stone. The attack is beautifully balanced between richness and brightness with hints of roses, honeysuckle, red and blue fruit flavors. The mid-palate reveals ripe tannins and crisp acidity with a touch of minerality and spice (cinnamon, anise, saffron, sandalwood) lending greater complexity. This wine, succulent and juicy with great concentration, finishes long and rich with classic Oregon freshness. The harmony and depth of the 2014 Oregon vintage are on full display in the 2014 A to Z Wineworks Pinot Noir. Built for mid-term aging, this wine has great integrity and should drink well on release and for the next 3-5 years. "
A to Z Pinot Noir 2017,"Willamette Valley, Oregon",Red Wine,89,"The garnet red, 2017 A to Z Oregon Pinot Noir showcases what A to Z does best. A vibrant, complex nose opens with floral, stone fruit and berry aromas - rose petal, violet, pomegranate, plum cherry, raspberry, black currant, boysenberry - that deepen with spice and wood notes - cinnamon, white pepper, thyme, vanilla, cedar, sandalwood, chocolate. Gentle oak aging adds definition supporting a delicious, harmonious balance between tannin, acid and fruit. The 2017 A to Z Oregon Pinot Noir is a prime example of the benefits of working with fruit grown in all of the remarkable valleys of Western Oregon."
A to Z Pinot Noir (375ML half-bottle) 2013,Oregon,Red Wine,89,"The 2013 A to Z Pinot Noir leads with aromas of cherries, raspberries, and blackberries, developing to iris, blueberries, strawberries and minerals. A beautiful attack has vibrant red fruit flavors and floral notes, then deepens with hints of blood orange and blueberry jam. Ripe tannins are balanced by perfect acidity and the mid-palate reveals spice, tobacco and earth notes adding richness and complexity. The finish is quite long which allows all the elements of the wine to come together and show the intrinsic balance and complexity of the 2013 Oregon vintage."
A to Z Riesling 2013,Oregon,White Wine,90,"A to Z's 2013 Riesling has fresh aromas of citrus, tangerine peel, ripe melon, sea shells and white flowers. Time in glass reveals aromas of pear, white raisin, lemongrass, guava and kiwi. The aromas carry through to the attack with citrus, wet stone and raspberry. The acidity on the mid-palate is balanced by a hint of sweetness. The finish is long and clean with lingering flavors of lime and wet stone. Complete, complex and beautiful, this wine will gain in age and complexity over the next ten years, but is already drinking great now. A versatile food wine, it pairs exceptionally well with spicy foods which play nicely against the dynamic layers of this Riesling."
A to Z Riesling 2014,"Rogue Valley, Oregon",White Wine,90,"Initial aromas of the 2014 A to Z Oregon Riesling are of pear, apple sauce, and kiwi followed by candied rose petal, lime leaf, clove and mace. Juicy and textured with off-dry sweetness, the wine has good weight and balance while finishing long with zippy acidity and lingering ripe fruit flavors. A versatile food wine, the A to Z Riesling pairs exceptionally well with spicy dishes."
A to Z Riesling 2015,"Rogue Valley, Oregon",White Wine,92,#17 
A to Z Riesling 2016,"Rogue Valley, Oregon",White Wine,92,#5 
A to Z Riesling 2017,"Rogue Valley, Oregon",White Wine,90,#53 
A to Z Rose 2016,Oregon,Pink and Rosé,89,"The 2016 A to Z Rose opens with exuberant aromas of rose, strawberry, hibiscus, watermelon, lemon, thyme and orange peel followed by pomegranate, cranberry and wet stone. On the palate, red fruit flavors with refreshing acidity offer freshness while a creamy nature offers volume and length. Bright and rich at the same time, the wine lingers with strawberry, rose, thyme and mineral flavors finally finishing clean and crisp. While easily paired throughout the year with all types of food, the A to Z Rose was absolutely made for late spring and summer enjoyment."
A Tribute to Grace Santa Barbara County Grenache 2016,"Santa Barbara, Central Coast, California",Red Wine,91,"The 2016 Santa Barbara County Grenache shows aromas of Rose attar, clary, iris and amber. "
A Tribute to Grace Santa Barbara County Grenache 2017,"Santa Barbara, Central Coast, California",Red Wine,91,"Black doris plum, tobacco and cinnamon finishing."
A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2017,"Central Coast, California",Pink and Rosé,90,"Nectarine blossom, starfruit, clove and star of anise. This wine was bottled under an Aries moon: February 21st, 2018."
A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2012,"Amador, Sierra Foothills, California",Red Wine,91,"The 2012 vintage of Snake Ridge Ranch Vineyard Grenache carried an intensity of flavors from the onset. The color of the berries were deeper, the rose petals notes became rose attar, and the resulting wine a far more serious woman."
A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013,"Amador, Sierra Foothills, California",Red Wine,90,"The Shake Ridge Ranch Vineyard Grenache carries an intensity of flavors from the onset. The color of the berries were deeper, the rose petals notes became rose attar, and the resulting wine a far more serious woman."
A Tribute to Grace Vie Caprice Vineyard Grenache 2014,"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,90,"This 100% grenache offers notes of ligonberries, pink peppercorns and clove."
A Tribute to Grace Vie Caprice Vineyard Grenache 2015,"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,90,"This 100% Grenache has notes of cardamon, Swedish Christmas cake and damson plum."
Aalto 2003,"Ribera del Duero, Spain",Red Wine,90,"It is ironic that one of the youngest properties in the region has one of the most prestigious lineages, but it is the case with Bodegas Aalto. A chance meeting between Mariano Garcia, former star winemaker of Vega Sicilia, and Javier Zaccagnini, former President of the governing body of the Ribera del Duero AOC, gave birth to this quality-oriented estate which produced its first vintage in 1999, a year after its creation.  "
Aalto 2004,"Ribera del Duero, Spain",Red Wine,94,"""The 2004 Aalto has a far different personality than the 2003. More deeply colored, it is also significantly more expressive aromatically. It reveals pain grille, pencil lead, wild blueberry, black raspberry, and blackberry liqueur notes. Opulent on the palate, it has layer upon layer of ripe fruit, and superb length but is still an infant developmentally. Give this top-flight effort 6-8 years to further evolve and drink it through 2032."""
Aalto 2005,"Ribera del Duero, Spain",Red Wine,95,The grapes come exclusively from old vineyards located in 7 different villages of Ribera del Duero. Harvested by hand in small 15 kg containers and thoroughly inspected in selection table.
Aalto 2007,"Ribera del Duero, Spain",Red Wine,95,"It is ironic that one of the youngest properties in the region has one of the most prestigious lineages, but it is the case with Bodegas Aalto. A chance meeting between Mariano Garcia, former star winemaker of Vega Sicilia, and Javier Zaccagnini, former President of the governing body of the Ribera del Duero AOC, gave birth to this quality-oriented estate which produced its first vintage in 1999, a year after its creation."
Aalto 2006,"Ribera del Duero, Spain",Red Wine,90,"It is ironic that one of the youngest properties in the region has one of the most prestigious lineages, but it is the case with Bodegas Aalto. A chance meeting between Mariano Garcia, former star winemaker of Vega Sicilia, and Javier Zaccagnini, former President of the governing body of the Ribera del Duero AOC, gave birth to this quality-oriented estate which produced its first vintage in 1999, a year after its creation."
Aalto 2008,"Ribera del Duero, Spain",Red Wine,95,"This wine's elegance and fruitful presence perfectly displays the vintage's Atlantic influence. In the nose, it offers freshness and a sharp minerality highlighting its complexity. On the palate, you experience excellence structure that is both round and sweet, with silky and persistent tannins, perfectly merged with the acidity and alcohol. It's a complex and long wine that keeps its presence in the mouth, exhibiting a wide range of flavors. Wonderful aging potential, especially after its third year in the bottle, and might be better when decanted before consumption.  "
Aalto 2009,"Ribera del Duero, Spain",Red Wine,91,"This wine's elegance and fruitful presence perfectly displays the vintage's Atlantic influence. In the nose, it offers freshness and a sharp minerality highlighting its complexity. On the palate, you experience excellence structure that is both round and sweet, with silky and persistent tannins, perfectly merged with the acidity and alcohol. It's a complex and long wine that keeps its presence in the mouth, exhibiting a wide range of flavors. Wonderful aging potential, especially after its third year in the bottle, and might be better when decanted before consumption. Pairs well with game, roasted lamb, stews and mature cheeses. "
Aalto 2010,"Ribera del Duero, Spain",Red Wine,94,"This wine's elegance and fruitful presence perfectly displays the vintage's Atlantic influence. In the nose, it offers freshness and a sharp minerality highlighting its complexity. On the palate, you experience excellence structure that is both round and sweet, with silky and persistent tannins, perfectly merged with the acidity and alcohol. It's a complex and long wine that keeps its presence in the mouth, exhibiting a wide range of flavors. "
Aalto 2011,"Ribera del Duero, Spain",Red Wine,91,"This wine's elegance and fruitful presence perfectly displays the vintage's Atlantic influence. In the nose, it offers freshness and a sharp minerality highlighting its complexity. On the palate, you experience excellence structure that is both round and sweet, with silky and persistent tannins, perfectly merged with the acidity and alcohol. It's a complex and long wine that keeps its presence in the mouth, exhibiting a wide range of flavors."
Aalto 2012,"Ribera del Duero, Spain",Red Wine,94,#6 
Aalto 2013,"Ribera del Duero, Spain",Red Wine,93,"This wine's elegance and fruitful presence perfectly displays the vintage's Atlantic influence. In the nose, it offers freshness and a sharp minerality highlighting its complexity. On the palate, you experience excellence structure that is both round and sweet, with silky and persistent tannins, perfectly merged with the acidity and alcohol. It's a complex and long wine that keeps its presence in the mouth, exhibiting a wide range of flavors."
Aalto 2014,"Ribera del Duero, Spain",Red Wine,92,"Dark purple. The nose has intense fruit aromas with wood in the background, bringing complexity without detracting from the sense of freshness. The palate is broad, structured and elegant as befits such exceptional phenolic maturity, with no hard edges and a tannic structure in perfect harmony with alcohol and acidity. The typical flavors of the Tempranillo are all present – licorice, black fruits and roasted coffee, alongside spices and fresh tobacco – provided by an impeccable wood aging. This wine is very long and will no doubt gain in complexity over the years."
Aalto 2015,"Ribera del Duero, Spain",Red Wine,93,"A voluminous Ribera del Duero showing winemaker Mariano Garcia's deft hand at capturing both the power and grace of a variety, Tinto Fino, that tends towards rusticity in the hot climate of the region."
Aalto 2016,"Ribera del Duero, Spain",Red Wine,95,"Deep purple red color, as corresponds to old Tempranillo grapes. On the nose we perceive good fruit intensity, a great deal of freshness and hints of well integrated wood. On the palate is complex, structured and elegant, with typical tints of licorice, coffee, tobacco, black fruits and spices, always within the personality of the AALTO style. This wine has a sweet character and could be drunk from the first moment, because it is shown rounded, with enveloping and balanced tannins, and showing a good acidity. AALTO 2016 will gain complexity over the years."
Aalto PS 2011,"Ribera del Duero, Spain",Red Wine,94,"AALTO PS, being made from a selection of our best vineyards, is always intense, powerful, concentrated and long. This AALTO PS 2011 exhibits a very dark color, staining the glass, and a panoply of aromas: flinty soils, toasted bread, licorice, spices and black fruit. On the palate, its acidity teams up with the alcohol to counterbalance the abundant tannins, resulting in a perfectly structured wine of considerable elegance and finesse. The careful use of new French oak over 22 months has lent an array of sapid tones that enhances the Tempranillo typicity in a great vintage. This wine has a good ageing potential and will develop in the bottle for quite a long time, probably 15 to 20 years, if properly cellared.  "
Aalto PS 2013,"Ribera del Duero, Spain",Red Wine,95,"Aalto PS (Pagos Seleccionada) is made only in the best vintages. It is sourced from Aalto's best sites (Pagos) located near the villages of La Horra, La Aguilera and Fresnillo. These vineyards are between 80–100 years old. This wine is aged entirely in new French oak for 20 months. As dense as the regular cuvée, the PS is more intense with tremendous structure and length that rewards patience resting either in your cellar or a decanter. "
Aalto PS 2014,"Ribera del Duero, Spain",Red Wine,94,"Aalto PS (Pagos Seleccionada) is made only in the best vintages. It is sourced from Aalto's best sites (Pagos) located near the villages of La Horra, La Aguilera and Fresnillo. These vineyards are between 80–100 years old. This wine is aged entirely in new French oak for 20 months. As dense as the regular cuvée, the PS is more intense with tremendous structure and length that rewards patience resting either in your cellar or a decanter. "
Aalto PS 2015,"Ribera del Duero, Spain",Red Wine,95,"Aalto PS (Pagos Seleccionada) is made only in the best vintages. It is sourced from Aalto's best sites (Pagos) located near the villages of La Horra, La Aguilera and Fresnillo. These vineyards are between 80–100 years old. This wine is aged entirely in new French oak for 20 months. As dense as the regular cuvée, the PS is more intense with tremendous structure and length that rewards patience resting either in your cellar or a decanter."
Aaron Wines Petite Sirah 2015,"Paso Robles, Central Coast, California",Red Wine,93,"Deep aromatics of cherry liqueur, cassis, licorice, and smoked meats complement a huge palate of dark fruits, pepper, spice, and floral notes."
Abacela Albarino 2008,"Umpqua Valley, Oregon",White Wine,87,"This Galician style wine exhibits aromas and flavors of crisp apples and pears, orange, pineapple, and delicate white flowers all carried on a frame that skirts the razors edge between creamy textures and steely minerality."
Abacela Albarino 2009,"Umpqua Valley, Oregon",White Wine,90,"This Galician style wine exhibits aromas and flavors of crisp golden apples, citrus fruits, fleshy peach, almonds, and delicate white flowers all carries on a frame that skirts the razors edge between creamy textures and steely minerality."
Abacela Albarino 2010,"Umpqua Valley, Oregon",White Wine,90,"The cool conditions on our estate's north facing hillsides allow this beautiful grape to slowly ripen while retaining its lively acidity. This Galician style wine exhibits aromas and flavors of crisp apples and pears, orange, pineapple, and delicate white flowers all carried on a frame that skirts the razors edge between creamy textures and steely minerality. "
Abacela Albarino 2014,"Umpqua Valley, Oregon",White Wine,89,"Albariño is a delicate Spanish white grape that ripens gracefully in our estate vineyards. It produces an assertive, dry wine characterized by beautiful floral and citrus aromas with flavors of pear, apple and citrus. The finish is mouth coating with refreshing acidity."
Abacela Albarino 2019,"Umpqua Valley, Oregon",White Wine,91,"Another fantastic vintage of Abacela's famous Albarino. This crisp and aromatic masterpiece provides green apple, pineapple, pear, and a lemon-lime component. The beautiful floral aromas and bright acidity make this wine perfect for many dishes, especially seafood!"
Abacela Estate Tempranillo 2006,"Umpqua Valley, Oregon",Red Wine,91,"Our estate vineyards in Southern Oregon's Umpqua Valley are an ideal terroir for this noble Spanish varietal. The 2006 vintage, the tenth release of our signature Tempranillo, is deeply colored and powerfully structured with intense aromas and flavors of ripe black fruits, savory spice, cassis, and smoke. Experience suggests this wine will age easily for five to seven years and offer a long plateau of maturity. If patience fails aeration is recommended. We also suggest saffron and pimenton dusted lamb with chèvre and sun dried tomato-stuffed peppers."
Abacela Estate Tempranillo 2007,"Umpqua Valley, Oregon",Red Wine,90,"The eleventh release of our flagship Tempranillo continues the tradition of quality and excellence expected from our terroir. The penetrating color and compelling aromas allude to the concentration of flavor which follow. Ripe black fruits, savory spice, and well defined tannins convincingly whisper quality. This wine will imporve for six to eight years and offers a long plateau of maturity. Decanting is recommended."
Abacela Fiesta Tempranillo 2014,"Umpqua Valley, Oregon",Red Wine,91,"Their fruit driven Fiesta Tempranillo is a fantastic representation of vintage and terroir. Bright garnet in color, this wine opens with aromas of red fruit, cherry, plum and spice notes. This sleek and silky Tempranillo unfolds into flavors of black currant, mocha, French vanilla with a lush and velvety tannin. "
Abacela Fiesta Tempranillo 2015,"Umpqua Valley, Oregon",Red Wine,92,#61 
Abacela Fiesta Tempranillo 2016,"Umpqua Valley, Oregon",Red Wine,90,"This fruit driven Fiesta Tempranillo is a fantastic representation of vintage and terroir. Bright garnet in color, this wine opens with aromas of red fruit, cherry, plum and spice notes. This sleek and silky Tempranillo unfolds into flavors of black currant, mocha, French vanilla with a lush and velvety tannin."
Abacela Grenache Rose 2014,"Umpqua Valley, Oregon",Pink and Rosé,89,"The color of ruby red grapefruit, this dry Rosé displays notes of strawberries, watermelon and roses, coupled with flavors of cherries, apple skins and hints of citrus peel. The balanced acidity and lengthy finish define the complexity and minerality of this wine. "
Abadia Retuerta Cuvee El Campanario 1997,"Ribera del Duero, Spain",Red Wine,90,"""The 1997 Cuvee El Campanario (100% Tempranillo) reveals great intensity, ripeness, and richness. Made from some of this huge estate's finest Tempranillo parcels, its dark ruby color is followed by sweet, jammy, black raspberry fruit aromas with notes of licorice and toasty oak."" "
Abadia Retuerta Le Domaine Blanco 2015,Spain,White Wine,91,"Bright and straw-coloured with golden hues. Its' nose is complex, intense and fruity; reminiscent of other grape varieties, with hints of pineapple and grapefruit, toast, butter and bakery. After 5 to 6 months of ageing in French Oak barrels, a fresh, citric, smoky, and slightly spiced flavor is achieved. It is a wine with body, just the right notes of wood, unctuous, with a long, fresh and delicate finish. It is a faithful reflection of our personality and has huge potential for laying down."
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2009,Spain,Red Wine,90,"This single vineyard wine was produced exclusively with Syrah grapes. The vines are planted in bright, white limestone soil in the middle of pine trees that protect the vineyard from strong winds. The grapes produced here reach perfect ripeness levels."
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2010,Spain,Red Wine,90,"This single vineyard wine was produced exclusively with Syrah grapes. The vines are planted in bright, white limestone soil in the middle of pine trees that protect the vineyard from strong winds. The grapes produced here reach perfect ripeness levels."
Abadia Retuerta Pago Negralada Tempranillo 2009,Spain,Red Wine,90,"Impressive color in the glass, intense and young. Opens up on the nose, offering very clean notes of wild herbs and ripe (almost preserve) red fruit (wild strawberry, raspberry and cherry), delicately creamy. In the mouth, the attack is very smooth,moving immediately on to unveil a very deep wine, fleshy and structured, with an impacting return to the fruit, although the highlight is perhaps its noblesse, maturity and refined tannins. Bold, persistent and full of character. A great wine, a wine ofdistinction."
Abadia Retuerta Pago Negralada Tempranillo 2010,Spain,Red Wine,92,"Impressive color in the glass, intense and young. Opens up on the nose, offering very clean notes of wild herbs and ripe (almost preserve) red fruit (wild strawberry, raspberry and cherry), delicately creamy. In the mouth, the attack is very smooth,moving immediately on to unveil a very deep wine, fleshy and structured, with an impacting return to the fruit, although the highlight is perhaps its noblesse, maturity and refined tannins. Bold, persistent and full of character. A great wine, a wine ofdistinction."
Abadia Retuerta Pago Negralada Tempranillo 2011,Spain,Red Wine,91,"Impressive color in the glass, intense and young. Opens up on the nose, offering very clean notes of wild herbs and ripe (almost preserve) red fruit (wild strawberry, raspberry and cherry), delicately creamy. In the mouth, the attack is very smooth,moving immediately on to unveil a very deep wine, fleshy and structured, with an impacting return to the fruit, although the highlight is perhaps its noblesse, maturity and refined tannins. Bold, persistent and full of character. A great wine, a wine ofdistinction."
Abadia Retuerta Pago Negralada Tempranillo 2012,Spain,Red Wine,90,"Intense color in the glass. Fresh black fruit on the nose: blackberries that fuse together on a backdrop of shrubs, aromatic herbs, palulu and light notes of cocoa. In the mouth, it is big but smooth, with a fully developed, well-rounded tanning. Velvety with a long, persistent finish."
Abadia Retuerta Pago Negralada Tempranillo 2013,Spain,Red Wine,91,"ago Negralada comes from a plot of Tempranillo, the noblest Spanish grape variety. The vines are planted in deep gravel soils intermixed with sand at the surface, and produce wines with a distinctive firm, tannic character. "
Abadia Retuerta Pago Negralada Tempranillo 2014,Spain,Red Wine,90,"Intense color in the glass. Fresh black fruit on the nose: blackberries that fuse together on a backdrop of shrubs, aromatic herbs, palulu and light notes of cocoa. In the mouth, it is big but smooth, with fully developed, well-rounded tannins. Velvety with a long, persistent finish."
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2009,Spain,Red Wine,90,"This exceptional Cabernet Sauvignon comes from a limestone-rich terroir blessed with its own microclimate. After a complete maceration, it spent sixteen months developing its potential in new oak barrels. Dark color, which gives off a delicate air of sweet spices, exotic fruit, mineral flavors, which together show us its generous, yet at the same time complex, body. On the palate, well assembled and persistent, promising a great ageing potential."